MVCO_CIAS	MVCO_FECMOV	MVCO_FECDOC	MVCO_NROCOM	MVCO_TPCO	TPCO_DESCRI	TO_NUMBER(C.MVCO_RENGLN)	MVCO_TPORAN	MVCO_MTOREN	MVCO_MONE	MVCO_CECO	MVCO_MAYO	MAYO_DESCRI	MVCO_DESCRI	AUXI_NIT	AUXI_DESCRI	CTCO_STATUS	CTCO_USER	CTCO_FECCOM	TO_CHAR(A.CTCO_FECCOM,'DD/MM/YYYYHH12:MI:SS')
80240	202409	05/09/24	4	914	CIERRE FONDO INVERSION	2	D	0,4			13020501001	FONDO COMUN ORDINARIO 1	Cierre de Fondo = 1 Fecha : 05-09-2024 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	EF1700017260	ENCARGO FIDUCIARIO 1700017260	A	MBELLO	05/09/24	05/09/2024 12:00:00
80240	202409	06/09/24	5	914	CIERRE FONDO INVERSION	2	D	0,22			51080501001	POR DISMINUCION DEL VALOR RAZONABLE	Cierre de Fondo = 1 Fecha : 06-09-2024 Tpmv(86)-RENDIMIENTOS BRUTOS NEGATIVOS	800193848	CARTERA COLECTIVA ACCION FIDUCIARIA	A	MBELLO	06/09/24	06/09/2024 12:00:00
80240	202409	06/09/24	5	914	CIERRE FONDO INVERSION	1	C	-0,22			13020501001	FONDO COMUN ORDINARIO 1	Cierre de Fondo = 1 Fecha : 06-09-2024 Tpmv(86)-RENDIMIENTOS BRUTOS NEGATIVOS	EF1700017260	ENCARGO FIDUCIARIO 1700017260	A	MBELLO	06/09/24	06/09/2024 12:00:00
80240	202409	07/09/24	6	914	CIERRE FONDO INVERSION	2	D	0,43			13020501001	FONDO COMUN ORDINARIO 1	Cierre de Fondo = 1 Fecha : 07-09-2024 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	EF1700017260	ENCARGO FIDUCIARIO 1700017260	A	MBELLO	07/09/24	07/09/2024 12:00:00
80240	202409	07/09/24	6	914	CIERRE FONDO INVERSION	1	C	-0,43			41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	Cierre de Fondo = 1 Fecha : 07-09-2024 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	800193848	CARTERA COLECTIVA ACCION FIDUCIARIA	A	MBELLO	07/09/24	07/09/2024 12:00:00
80240	202409	08/09/24	7	914	CIERRE FONDO INVERSION	2	D	0,43			13020501001	FONDO COMUN ORDINARIO 1	Cierre de Fondo = 1 Fecha : 08-09-2024 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	EF1700017260	ENCARGO FIDUCIARIO 1700017260	A	MBELLO	08/09/24	08/09/2024 12:00:00
80240	202409	08/09/24	7	914	CIERRE FONDO INVERSION	1	C	-0,43			41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	Cierre de Fondo = 1 Fecha : 08-09-2024 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	800193848	CARTERA COLECTIVA ACCION FIDUCIARIA	A	MBELLO	08/09/24	08/09/2024 12:00:00
80240	202409	09/09/24	8	914	CIERRE FONDO INVERSION	1	C	-2,65			41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	Cierre de Fondo = 1 Fecha : 09-09-2024 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	800193848	CARTERA COLECTIVA ACCION FIDUCIARIA	A	LVELANDIA	09/09/24	09/09/2024 12:00:00
80240	202409	09/09/24	8	914	CIERRE FONDO INVERSION	2	D	2,65			13020501001	FONDO COMUN ORDINARIO 1	Cierre de Fondo = 1 Fecha : 09-09-2024 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	EF1700017260	ENCARGO FIDUCIARIO 1700017260	A	LVELANDIA	09/09/24	09/09/2024 12:00:00
80240	202409	10/09/24	9	914	CIERRE FONDO INVERSION	1	C	-1,3			41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	Cierre de Fondo = 1 Fecha : 10-09-2024 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	800193848	CARTERA COLECTIVA ACCION FIDUCIARIA	A	LVELANDIA	10/09/24	10/09/2024 12:00:00
80240	202409	10/09/24	9	914	CIERRE FONDO INVERSION	2	D	1,3			13020501001	FONDO COMUN ORDINARIO 1	Cierre de Fondo = 1 Fecha : 10-09-2024 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	EF1700017260	ENCARGO FIDUCIARIO 1700017260	A	LVELANDIA	10/09/24	10/09/2024 12:00:00
80240	202409	11/09/24	10	914	CIERRE FONDO INVERSION	2	D	1,29			13020501001	FONDO COMUN ORDINARIO 1	Cierre de Fondo = 1 Fecha : 11-09-2024 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	EF1700017260	ENCARGO FIDUCIARIO 1700017260	A	LVELANDIA	11/09/24	11/09/2024 12:00:00
80240	202409	11/09/24	10	914	CIERRE FONDO INVERSION	1	C	-1,29			41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	Cierre de Fondo = 1 Fecha : 11-09-2024 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	800193848	CARTERA COLECTIVA ACCION FIDUCIARIA	A	LVELANDIA	11/09/24	11/09/2024 12:00:00
80240	202409	12/09/24	11	914	CIERRE FONDO INVERSION	2	D	0,34			13020501001	FONDO COMUN ORDINARIO 1	Cierre de Fondo = 1 Fecha : 12-09-2024 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	EF1700017260	ENCARGO FIDUCIARIO 1700017260	A	LVELANDIA	12/09/24	12/09/2024 12:00:00
80240	202409	12/09/24	11	914	CIERRE FONDO INVERSION	1	C	-0,34			41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	Cierre de Fondo = 1 Fecha : 12-09-2024 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	800193848	CARTERA COLECTIVA ACCION FIDUCIARIA	A	LVELANDIA	12/09/24	12/09/2024 12:00:00
