MVCO_CIAS	MVCO_FECMOV	MVCO_FECDOC	MVCO_NROCOM	MVCO_TPCO	TPCO_DESCRI	TO_NUMBER(C.MVCO_RENGLN)	MVCO_TPORAN	MVCO_MTOREN	MVCO_MONE	MVCO_CECO	MVCO_MAYO	MAYO_DESCRI	MVCO_DESCRI	AUXI_NIT	AUXI_DESCRI	CTCO_STATUS	CTCO_USER	CTCO_FECCOM	TO_CHAR(A.CTCO_FECCOM,'DD/MM/YYYYHH12:MI:SS')
110100	202509	08/09/25	41	904	EGRESO CAJA	3	D	718			51151201001	SERVICIOS BANCARIOS	IVA COSTOS DE OPERACION (25) . PAGO DE FACTURA POR DESCUESTO AUTOMATICO(COMISION FIDUCIARIA)	800193848	CARTERA COLECTIVA ACCION FIDUCIARIA	A	PROCESOS	08/09/25	08/09/2025 12:00:00
110100	202509	08/09/25	41	904	EGRESO CAJA	10	C	-33879,3			13020501001	FONDO COMUN ORDINARIO 1	CONTRIBUCIÓN ESPECIAL (5) . PAGO DE FACTURA POR DESCUESTO AUTOMATICO(COMISION FIDUCIARIA)	EF1200104103	ENCARGO FIDUCIARIO 1200104103	A	PROCESOS	08/09/25	08/09/2025 12:00:00
110100	202509	08/09/25	14	906	NOTAS CONTABLES	1	C	-2712887,15			35101002009	COMISION FIDUCIARIA	RECLASIFICACION POR NO TENER APORTES A RESTITUIR	800155413	ACCION SOCIEDAD FIDUCIARIA S.A.	A	NCORBA	08/09/25	08/09/2025 12:00:00
110100	202509	08/09/25	14	906	NOTAS CONTABLES	2	D	2712887,15			16909501005	ANTICIPOS DE UTILIDADES	RECLASIFICACION POR NO TENER APORTES A RESTITUIR	800155413	ACCION SOCIEDAD FIDUCIARIA S.A.	A	NCORBA	08/09/25	08/09/2025 12:00:00
110100	202509	08/09/25	372	914	CIERRE FONDO INVERSION	1	C	-3264,43			41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	Cierre de Fondo = 1 Fecha : 08-09-2025 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	800193848	CARTERA COLECTIVA ACCION FIDUCIARIA	A	LVELANDIA	08/09/25	08/09/2025 12:00:00
110100	202509	08/09/25	372	914	CIERRE FONDO INVERSION	2	D	3264,43			13020501001	FONDO COMUN ORDINARIO 1	Cierre de Fondo = 1 Fecha : 08-09-2025 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	EF1200104103	ENCARGO FIDUCIARIO 1200104103	A	LVELANDIA	08/09/25	08/09/2025 12:00:00
110100	202509	09/09/25	373	914	CIERRE FONDO INVERSION	1	C	-3035,62			41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	Cierre de Fondo = 1 Fecha : 09-09-2025 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	800193848	CARTERA COLECTIVA ACCION FIDUCIARIA	A	LVELANDIA	09/09/25	09/09/2025 12:00:00
110100	202509	09/09/25	373	914	CIERRE FONDO INVERSION	2	D	3035,62			13020501001	FONDO COMUN ORDINARIO 1	Cierre de Fondo = 1 Fecha : 09-09-2025 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	EF1200104103	ENCARGO FIDUCIARIO 1200104103	A	LVELANDIA	09/09/25	09/09/2025 12:00:00
110100	202509	10/09/25	374	914	CIERRE FONDO INVERSION	2	D	1355,25			13020501001	FONDO COMUN ORDINARIO 1	Cierre de Fondo = 1 Fecha : 10-09-2025 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	EF1200104103	ENCARGO FIDUCIARIO 1200104103	A	LVELANDIA	10/09/25	10/09/2025 12:00:00
110100	202509	10/09/25	374	914	CIERRE FONDO INVERSION	1	C	-1355,25			41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	Cierre de Fondo = 1 Fecha : 10-09-2025 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	800193848	CARTERA COLECTIVA ACCION FIDUCIARIA	A	LVELANDIA	10/09/25	10/09/2025 12:00:00
110100	202509	11/09/25	375	914	CIERRE FONDO INVERSION	1	C	-2562,08			41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	Cierre de Fondo = 1 Fecha : 11-09-2025 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	800193848	CARTERA COLECTIVA ACCION FIDUCIARIA	A	LVELANDIA	11/09/25	11/09/2025 12:00:00
110100	202509	11/09/25	375	914	CIERRE FONDO INVERSION	2	D	2562,08			13020501001	FONDO COMUN ORDINARIO 1	Cierre de Fondo = 1 Fecha : 11-09-2025 Tpmv(85)-RENDIMIENTOS BRUTOS POSITIVOS	EF1200104103	ENCARGO FIDUCIARIO 1200104103	A	LVELANDIA	11/09/25	11/09/2025 12:00:00
