FECHA_PROCESO	CUENTA_CONTABLE	COD_1	COD_2	COD_4	COD_6	COD_8	COD_11	NOM_CUENTA	FECHA_COMPROBANTE	NUMERO_COMPROBANTE	TIPO_COMPROBANTE	NOMBRE_COMPROBANTE	DEBITO	CREDITO	NIT_TERCERO	NOMBRE_COMUN	TIPO_PERSONA	DESCRIPCION	USUARIO	CODIGO_PRODUCTO
31/01/23	25011501001	2	25	2501	250115	25011501	25011501001	COMISION POR ADMINISTRACION	31/01/23	17	2	EGRESOS	6979671	0	800155413	ACCION SOCIEDAD FIDUCIARIA S.A.	JURIDICA	PAGO COMISION FIDUCIARIA FACT NO FC20-39796 CAPITAL 690200	YRAIGOSA	1
31/01/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	31/01/23	17	2	EGRESOS	0	6979671	110100	FA-5931 FIDEICOMISO SAUTARI	JURIDICA	PAGO COMISION FIDUCIARIA FACT NO FC20-39796 CAPITAL 690200	YRAIGOSA	1
31/01/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	31/01/23	18	2	EGRESOS	0	4500	110100	FA-5931 FIDEICOMISO SAUTARI	JURIDICA	GASTO BANCARIO POR PORCENTAJE FIJO TR-FC20-39796-	YRAIGOSA	1
31/01/23	51151201001	5	51	5115	511512	51151201	51151201001	SERVICIOS BANCARIOS	31/01/23	18	2	EGRESOS	3781,51	0	110100	FA-5931 FIDEICOMISO SAUTARI	JURIDICA	COSTOS DE OPERACION  -FC20-39796-	YRAIGOSA	1
31/01/23	35101002009	3	35	3510	351010	35101002	35101002009	COMISION FIDUCIARIA	31/01/23	18	2	EGRESOS	718,49	0	800193848	CARTERA COLECTIVA ACCION FIDUCIARIA	JURIDICA	COMISION DE FIDEICOMISO-FC20-39796-	YRAIGOSA	1
31/01/23	25011501001	2	25	2501	250115	25011501	25011501001	COMISION POR ADMINISTRACION	31/01/23	19	2	EGRESOS	6204794	0	800155413	ACCION SOCIEDAD FIDUCIARIA S.A.	JURIDICA	PAGO COMISION FIDUCIARIA FACT NO FC20-38943 CAPITAL 595000	YRAIGOSA	1
31/01/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	31/01/23	19	2	EGRESOS	0	6204794	110100	FA-5931 FIDEICOMISO SAUTARI	JURIDICA	PAGO COMISION FIDUCIARIA FACT NO FC20-38943 CAPITAL 595000	YRAIGOSA	1
31/01/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	31/01/23	20	2	EGRESOS	0	4500	110100	FA-5931 FIDEICOMISO SAUTARI	JURIDICA	GASTO BANCARIO POR PORCENTAJE FIJO TR-FC20-38943-	YRAIGOSA	1
31/01/23	51151201001	5	51	5115	511512	51151201	51151201001	SERVICIOS BANCARIOS	31/01/23	20	2	EGRESOS	3781,51	0	110100	FA-5931 FIDEICOMISO SAUTARI	JURIDICA	COSTOS DE OPERACION  -FC20-38943-	YRAIGOSA	1
31/01/23	35101002009	3	35	3510	351010	35101002	35101002009	COMISION FIDUCIARIA	31/01/23	20	2	EGRESOS	718,49	0	800193848	CARTERA COLECTIVA ACCION FIDUCIARIA	JURIDICA	COMISION DE FIDEICOMISO-FC20-38943-	YRAIGOSA	1
31/01/23	25011501001	2	25	2501	250115	25011501	25011501001	COMISION POR ADMINISTRACION	31/01/23	21	2	EGRESOS	851455	0	800155413	ACCION SOCIEDAD FIDUCIARIA S.A.	JURIDICA	PAGO COMISION FIDUCIARIA FACT NO FC20-38150 CAPITAL 793334	YRAIGOSA	1
31/01/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	31/01/23	21	2	EGRESOS	0	851455	110100	FA-5931 FIDEICOMISO SAUTARI	JURIDICA	PAGO COMISION FIDUCIARIA FACT NO FC20-38150 CAPITAL 793334	YRAIGOSA	1
31/01/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	31/01/23	22	2	EGRESOS	0	4500	110100	FA-5931 FIDEICOMISO SAUTARI	JURIDICA	GASTO BANCARIO POR PORCENTAJE FIJO TR-FC20-38150-	YRAIGOSA	1
31/01/23	51151201001	5	51	5115	511512	51151201	51151201001	SERVICIOS BANCARIOS	31/01/23	22	2	EGRESOS	3781,51	0	110100	FA-5931 FIDEICOMISO SAUTARI	JURIDICA	COSTOS DE OPERACION  -FC20-38150-	YRAIGOSA	1
31/01/23	35101002009	3	35	3510	351010	35101002	35101002009	COMISION FIDUCIARIA	31/01/23	22	2	EGRESOS	718,49	0	800193848	CARTERA COLECTIVA ACCION FIDUCIARIA	JURIDICA	COMISION DE FIDEICOMISO-FC20-38150-	YRAIGOSA	1
31/01/23	25011501001	2	25	2501	250115	25011501	25011501001	COMISION POR ADMINISTRACION	31/01/23	23	2	EGRESOS	5539714	0	800155413	ACCION SOCIEDAD FIDUCIARIA S.A.	JURIDICA	PAGO COMISION FIDUCIARIA FACT NO FC20-38147 CAPITAL 515666	YRAIGOSA	1
31/01/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	31/01/23	23	2	EGRESOS	0	5539714	110100	FA-5931 FIDEICOMISO SAUTARI	JURIDICA	PAGO COMISION FIDUCIARIA FACT NO FC20-38147 CAPITAL 515666	YRAIGOSA	1
31/01/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	31/01/23	24	2	EGRESOS	0	4500	110100	FA-5931 FIDEICOMISO SAUTARI	JURIDICA	GASTO BANCARIO POR PORCENTAJE FIJO TR-FC20-38147-	YRAIGOSA	1
31/01/23	51151201001	5	51	5115	511512	51151201	51151201001	SERVICIOS BANCARIOS	31/01/23	24	2	EGRESOS	3781,51	0	110100	FA-5931 FIDEICOMISO SAUTARI	JURIDICA	COSTOS DE OPERACION  -FC20-38147-	YRAIGOSA	1
31/01/23	35101002009	3	35	3510	351010	35101002	35101002009	COMISION FIDUCIARIA	31/01/23	24	2	EGRESOS	718,49	0	800193848	CARTERA COLECTIVA ACCION FIDUCIARIA	JURIDICA	COMISION DE FIDEICOMISO-FC20-38147-	YRAIGOSA	1
31/01/23	51400501005	5	51	5140	514005	51400501	51400501005	GRAVAMEN A LOS MOVIMIENTOS FINANCIEROS G	31/01/23	2001	46	EGRESO SIN CHEQUE	25567,91	0	110100	FA-5931 FIDEICOMISO SAUTARI	JURIDICA	GRAVAMEN FINANCIERO 4*1000	YRAIGOSA	1
31/01/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	31/01/23	2001	46	EGRESO SIN CHEQUE	0	25567,91	110100	FA-5931 FIDEICOMISO SAUTARI	JURIDICA	GRAVAMEN PAGO A TERCEROS FC20-38146	YRAIGOSA	1
31/01/23	51400501005	5	51	5140	514005	51400501	51400501005	GRAVAMEN A LOS MOVIMIENTOS FINANCIEROS G	31/01/23	2002	46	EGRESO SIN CHEQUE	27918,68	0	110100	FA-5931 FIDEICOMISO SAUTARI	JURIDICA	GRAVAMEN FINANCIERO 4*1000	YRAIGOSA	1
31/01/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	31/01/23	2002	46	EGRESO SIN CHEQUE	0	27918,68	110100	FA-5931 FIDEICOMISO SAUTARI	JURIDICA	GRAVAMEN PAGO A TERCEROS FC20-39796	YRAIGOSA	1
31/01/23	51400501005	5	51	5140	514005	51400501	51400501005	GRAVAMEN A LOS MOVIMIENTOS FINANCIEROS G	31/01/23	2003	46	EGRESO SIN CHEQUE	24819,18	0	110100	FA-5931 FIDEICOMISO SAUTARI	JURIDICA	GRAVAMEN FINANCIERO 4*1000	YRAIGOSA	1
31/01/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	31/01/23	2003	46	EGRESO SIN CHEQUE	0	24819,18	110100	FA-5931 FIDEICOMISO SAUTARI	JURIDICA	GRAVAMEN PAGO A TERCEROS FC20-38943	YRAIGOSA	1
31/01/23	51400501005	5	51	5140	514005	51400501	51400501005	GRAVAMEN A LOS MOVIMIENTOS FINANCIEROS G	31/01/23	2004	46	EGRESO SIN CHEQUE	3405,82	0	110100	FA-5931 FIDEICOMISO SAUTARI	JURIDICA	GRAVAMEN FINANCIERO 4*1000	YRAIGOSA	1
31/01/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	31/01/23	2004	46	EGRESO SIN CHEQUE	0	3405,82	110100	FA-5931 FIDEICOMISO SAUTARI	JURIDICA	GRAVAMEN PAGO A TERCEROS FC20-38150	YRAIGOSA	1
31/01/23	51400501005	5	51	5140	514005	51400501	51400501005	GRAVAMEN A LOS MOVIMIENTOS FINANCIEROS G	31/01/23	2005	46	EGRESO SIN CHEQUE	22158,86	0	110100	FA-5931 FIDEICOMISO SAUTARI	JURIDICA	GRAVAMEN FINANCIERO 4*1000	YRAIGOSA	1
31/01/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	31/01/23	2005	46	EGRESO SIN CHEQUE	0	22158,86	110100	FA-5931 FIDEICOMISO SAUTARI	JURIDICA	GRAVAMEN PAGO A TERCEROS FC20-38147	YRAIGOSA	1
09/02/23	25011501001	2	25	2501	250115	25011501	25011501001	COMISION POR ADMINISTRACION	09/02/23	13	62	CAUSACION DE PAGOS	0	6902000	800155413	ACCION SOCIEDAD FIDUCIARIA S.A.	JURIDICA	PAGO COMISION FIDUCIARIA FACT NO FC20-40862 CAPITAL 690200	YRAIGOSA	1
09/02/23	35101002009	3	35	3510	351010	35101002	35101002009	COMISION FIDUCIARIA	09/02/23	13	62	CAUSACION DE PAGOS	6902000	0	800155413	ACCION SOCIEDAD FIDUCIARIA S.A.	JURIDICA	PAGO COMISION FIDUCIARIA FACT NO FC20-40862 CAPITAL 690200	YRAIGOSA	1
