FECHA_PROCESO	CUENTA_CONTABLE	COD_1	COD_2	COD_4	COD_6	COD_8	COD_11	NOM_CUENTA	FECHA_COMPROBANTE	NUMERO_COMPROBANTE	TIPO_COMPROBANTE	NOMBRE_COMPROBANTE	DEBITO	CREDITO	NIT_TERCERO	NOMBRE_COMUN	TIPO_PERSONA	DESCRIPCION	USUARIO	CODIGO_PRODUCTO
31/03/20	39200001001	3	39	3920	392000	39200001	39200001001	PERDIDA DEL EJERCICIO	31/03/20	90	18	CIERRES	34166,36	0	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	JURIDICA	UTILIDAD O PERDIDAD	SYSTRX	1
31/03/20	59050001001	5	59	5905	590500	59050001	59050001001	GANANCIAS Y PÉRDIDAS	31/03/20	90	18	CIERRES	0	34166,36	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	JURIDICA	UTILIDAD O PERDIDAD	SYSTRX	1
31/03/20	39150001001	3	39	3915	391500	39150001	39150001001	GANANCIA DEL EJERCICIO	31/03/20	90	18	CIERRES	34166,36	0	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	JURIDICA	UTILIDAD O PERDIDAD	SYSTRX	1
31/03/20	39200001001	3	39	3920	392000	39200001	39200001001	PERDIDA DEL EJERCICIO	31/03/20	90	18	CIERRES	0	34166,36	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	JURIDICA	UTILIDAD O PERDIDAD	SYSTRX	1
26/04/20	41080501001	4	41	4108	410805	41080501	41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	26/04/20	2918	1	INGRESOS	0	51339,79	44764	FA-2594 FIDEICOMISO HOTEL URBAN ROYAL 26	JURIDICA	RENDIMEINTOS DEL FCO POSITIVOS	JCLAVIJO	1
26/04/20	13020501005	1	13	1302	130205	13020501	13020501005	FONDO COMUN ORDINARIO 5	26/04/20	2918	1	INGRESOS	51339,79	0	44764	FA-2594 FIDEICOMISO HOTEL URBAN ROYAL 26	JURIDICA	RENDIMEINTOS DEL FCO POSITIVOS	JCLAVIJO	1
26/04/20	51080501001	5	51	5108	510805	51080501	51080501001	POR DISMINUCION DEL VALOR RAZONABLE	26/04/20	2919	1	INGRESOS	28531,9	0	44764	FA-2594 FIDEICOMISO HOTEL URBAN ROYAL 26	JURIDICA	RENDIMIENTOS NEGATIVOS	JCLAVIJO	1
26/04/20	13020501005	1	13	1302	130205	13020501	13020501005	FONDO COMUN ORDINARIO 5	26/04/20	2919	1	INGRESOS	0	28531,9	44764	FA-2594 FIDEICOMISO HOTEL URBAN ROYAL 26	JURIDICA	RENDIMIENTOS NEGATIVOS	JCLAVIJO	1
26/04/20	51080501001	5	51	5108	510805	51080501	51080501001	POR DISMINUCION DEL VALOR RAZONABLE	26/04/20	2921	1	INGRESOS	456,29	0	44764	FA-2594 FIDEICOMISO HOTEL URBAN ROYAL 26	JURIDICA	RENDIMIENTOS NEGATIVOS	JCLAVIJO	1
26/04/20	13020501002	1	13	1302	130205	13020501	13020501002	FONDO COMUN ORDINARIO 2	26/04/20	2921	1	INGRESOS	0	456,29	44764	FA-2594 FIDEICOMISO HOTEL URBAN ROYAL 26	JURIDICA	RENDIMIENTOS NEGATIVOS	JCLAVIJO	1
